"distance","elevation"
"1659.9945225090032","-2058.677623478306"
"1669.9474446508993","-2058.4710463629644"
"1679.9003607482402","-2057.1556703619553"
"1689.8532708071684","-2056.148184034898"
"1699.8061748243995","-2054.7052314529437"
"1709.7590727996537","-2053.089177488254"
"1719.7119647363184","-2050.949049508011"
"1729.664850628637","-2049.4136910405464"
"1739.617730476459","-2047.4608082613029"
"1749.5706042881043","-2045.5987366102986"
"1759.5234720553055","-2043.9416473915255"
"1769.4763337809181","-2042.4724605592749"
"1779.4291894650657","-2040.4884110564612"
"1789.3820391018658","-2038.7538833637705"
"1799.3348826997028","-2036.9581621162615"
"1809.2877202557877","-2035.1121535990799"
"1819.2405517647433","-2035.1758099563085"
"1829.1933772347613","-2035.922825708738"
"1839.1461966602076","-2036.8949858509645"
"1849.0990100410756","-2036.5178160808437"
"1859.0518173777596","-2036.562756738626"
"1869.0046186728505","-2035.4079728615347"
"1878.9574139203298","-2034.7346311621366"
"1888.9102031260918","-2033.7145934991106"
"1898.8629862875928","-2032.7523759336827"
"1908.8157633986862","-2030.6421952316382"
"1918.7685344738584","-2029.0591551502084"
"1928.7212995018199","-2026.807643702496"
"1938.674058485278","-2025.274609256756"
"1948.6268114182185","-2024.3165151429876"
"1958.5795583125657","-2023.1577436995333"
"1968.5322991566793","-2021.8377508378592"
"1978.4850339533243","-2020.799006561327"
"1988.4377627113513","-2020.2834882691407"
"1998.3904854188916","-2020.9922104784828"
"2008.3432020792602","-2020.858365451792"
"2018.29591269505","-2019.9670893692366"
"2028.2486172606593","-2018.570543319158"
"2038.201315787583","-2018.7972258900807"
"2048.1540082639185","-2019.3999607469823"
"2058.1066946901524","-2020.570096586678"
"2068.0593750720127","-2021.2549606709104"
"2078.012049406202","-2021.9476710598028"
"2087.964717690399","-2021.8660830758593"
"2097.9173799300447","-2023.5334129043943"
"2107.8700361194756","-2024.174566728757"
"2117.8226862670826","-2026.0337872621217"
"2127.7753303560103","-2027.0069511784152"
"2137.7279684034243","-2027.042767393698"
"2147.680600400256","-2027.6078914797786"
"2157.6332263497707","-2027.3935638707287"
"2167.585846249109","-2027.1889562323313"
"2177.5384601011624","-2027.664013893398"
"2187.49106790273","-2027.3689948173503"
"2197.443669654267","-2027.716362258586"
"2207.3962653583208","-2027.375437163674"
"2217.3488550120587","-2026.6816350506845"
"2227.301438612617","-2025.9004524539982"
"2237.254016169073","-2025.8279079531353"
"2247.206587669162","-2024.925336373926"
"2257.1591531246636","-2024.3209203388046"
"2267.111712524718","-2023.2874989601717"
"2277.064265876785","-2022.6506332336367"
"2287.016813178856","-2021.6118622050865"
"2296.9693544276834","-2019.6686782880638"
"2306.92188962635","-2018.527394735485"
"2316.874418774837","-2017.3167347343033"
"2326.8269418701484","-2015.8894657394105"
"2336.779458914939","-2014.7382201049563"
"2346.7319699069044","-2013.7557548955224"
"2356.684474848621","-2012.303245809134"
"2366.6369737343766","-2011.3644486741582"
"2372.802732948946","-2010.4190740020008"
